"Dzień","Liczba zwierząt","Liczba traw","Średni poziom energii","Średnia długość życia","Średnia liczba dzieci"
"98","14","2","46.42857142857143","0.0","1.7142857142857142"
"99","14","1","47.57142857142857","0.0","1.7142857142857142"
"100","14","1","47.57142857142857","0.0","1.7142857142857142"
"101","15","2","43.46666666666667","0.0","1.7333333333333334"
"102","15","2","43.46666666666667","0.0","1.7333333333333334"
"103","16","2","43.5625","0.0","1.75"
"104","16","2","43.5625","0.0","1.75"
"105","16","3","42.5625","0.0","1.75"
"106","16","3","42.5625","0.0","1.75"
"107","17","3","40.88235294117647","0.0","1.7647058823529411"
"108","17","3","40.88235294117647","0.0","1.7647058823529411"
"109","17","3","39.88235294117647","0.0","1.7647058823529411"
"110","17","3","39.88235294117647","0.0","1.7647058823529411"
"111","17","2","40.64705882352941","0.0","1.7647058823529411"
"112","17","2","40.64705882352941","0.0","1.7647058823529411"
"113","17","2","39.64705882352941","0.0","1.7647058823529411"
"114","17","2","39.64705882352941","0.0","1.7647058823529411"
"115","18","3","36.5","0.0","1.7777777777777777"
"116","18","3","36.5","0.0","1.7777777777777777"
"117","19","2","35.21052631578947","0.0","1.7894736842105263"
"118","19","2","35.21052631578947","0.0","1.7894736842105263"
